timestamp,epic,pair,direction,final_decision,rejection_reason,rejection_step,cooldown_active,session_valid,htf_trend,htf_strength,htf_structure,htf_in_pullback,htf_pullback_depth,bos_detected,bos_direction,bos_quality,ob_found,ob_distance_pips,pattern_found,pattern_type,pattern_strength,sr_level,sr_type,sr_strength,sr_distance_pips,premium_discount_zone,entry_quality,zone_position_pct,risk_pips,reward_pips,rr_ratio,confidence,htf_score,pattern_score,sr_score,rr_score,entry_price,stop_loss,take_profit
2025-11-11 08:10:53,CS.D.USDJPY.MINI.IP,USDJPY,bullish,APPROVED,,,,,BULL,0.6,INSUFFICIENT_DATA,False,0.0,True,bullish,0.9,False,,True,bullish_pin_bar,0.8707865168540294,153.95274999999998,support,0.7,28.324999999998113,discount,1.0,0.0,11.549999999999727,62.19999999999857,5.385281385281388,0.5012359550562088,0.0,0.26123595505620884,0.13999999999999999,0.1,153.6695,153.554,154.29149999999998
2025-11-11 08:10:54,CS.D.USDCHF.MINI.IP,unknown,bearish,REJECTED,LOW_BOS_QUALITY,BOS_QUALITY_CHECK,,,BULL,0.6,HH_HL,False,0.0,True,bullish,1.0,,,,,,,,,,,,,,,,,,,,,,,
2025-11-11 08:10:54,CS.D.USDCHF.MINI.IP,USDCHF,bullish,APPROVED,,,,,,,,,,,,,,,True,structure_only,0.5,,,,,premium,0.0,100.0,27.3000000000001,54.6000000000002,2.0,0.44,0.24,0.15,0.0,0.05,0.810225,0.807495,0.815685
2025-11-11 08:10:55,CS.D.USDCAD.MINI.IP,USDCAD,bullish,APPROVED,,,,,BULL,0.6,MIXED,False,0.0,,,,,,True,bullish_engulfing,0.7258064516129263,,,,,premium,0.0,100.0,20.099999999998452,40.199999999996905,2.0,0.38774193548387786,0.12,0.2177419354838779,0.0,0.05,1.410355,1.4083450000000002,1.4143749999999997
2025-11-11 08:10:55,CS.D.NZDUSD.MINI.IP,NZDUSD,bullish,APPROVED,,,,,BULL,0.6,LH_LL,False,0.0,,,,,,True,bullish_pin_bar,0.7030456852792191,,,,,equilibrium,0.0,49.04761904761809,16.199999999999548,67.00000000000038,4.135802469135942,0.7109137055837657,0.4,0.2109137055837657,0.0,0.1,0.56631,0.56469,0.57301
2025-11-11 08:10:58,CS.D.USDCHF.MINI.IP,unknown,bearish,REJECTED,LOW_BOS_QUALITY,BOS_QUALITY_CHECK,,,BULL,0.6,HH_HL,False,0.0,True,bullish,1.0,False,,True,bullish_pin_bar,0.8707865168540294,153.95274999999998,support,0.7,28.324999999998113,discount,1.0,0.0,,,,,,,,,,,
2025-11-11 08:10:59,CS.D.EURUSD.CEEM.IP,unknown,bearish,REJECTED,LOW_BOS_QUALITY,BOS_QUALITY_CHECK,,,BEAR,1.0,LH_LL,False,0.0,True,bearish,1.0,,,True,bullish_pin_bar,0.7030456852792191,99.50375,support,0.8,25.37499999999966,equilibrium,0.0,49.04761904761809,,,,,,,,,,,
2025-11-11 08:10:59,CS.D.EURUSD.CEEM.IP,EURUSD,bearish,APPROVED,,,,,,,,,,,,,,,True,structure_only,0.5,,,,,discount,0.0,0.0,20.699999999997942,41.399999999995885,2.0,0.6000000000000001,0.4,0.15,0.0,0.05,1.148435,1.1505049999999999,1.1442950000000005
2025-11-11 08:11:00,CS.D.USDCHF.MINI.IP,unknown,bearish,REJECTED,LOW_BOS_QUALITY,BOS_QUALITY_CHECK,,,BULL,0.6,HH_HL,False,0.0,True,bullish,1.0,,,True,bullish_pin_bar,0.8707865168540294,153.95274999999998,support,0.7,28.324999999998113,discount,1.0,0.0,,,,,,,,,,,
2025-11-11 08:11:03,CS.D.USDCHF.MINI.IP,unknown,bearish,REJECTED,LOW_BOS_QUALITY,BOS_QUALITY_CHECK,,,BULL,0.6,HH_HL,False,0.0,True,bullish,1.0,False,,True,bullish_pin_bar,0.8707865168540294,153.95274999999998,support,0.7,28.324999999998113,discount,1.0,0.0,,,,,,,,,,,
2025-11-11 08:11:04,CS.D.EURUSD.CEEM.IP,unknown,bearish,REJECTED,LOW_BOS_QUALITY,BOS_QUALITY_CHECK,,,BEAR,1.0,LH_LL,False,0.0,True,bearish,1.0,,,True,bullish_pin_bar,0.7030456852792191,99.50375,support,0.8,25.37499999999966,equilibrium,0.0,49.04761904761809,,,,,,,,,,,
