timestamp,epic,pair,direction,final_decision,rejection_reason,rejection_step,cooldown_active,session_valid,htf_trend,htf_strength,htf_structure,htf_in_pullback,htf_pullback_depth,bos_detected,bos_direction,bos_quality,ob_found,ob_distance_pips,pattern_found,pattern_type,pattern_strength,sr_level,sr_type,sr_strength,sr_distance_pips,premium_discount_zone,entry_quality,zone_position_pct,risk_pips,reward_pips,rr_ratio,confidence,htf_score,pattern_score,sr_score,rr_score,entry_price,stop_loss,take_profit
2025-11-10 13:22:35,CS.D.EURUSD.CEEM.IP,EURUSD,bearish,APPROVED,,,,,BEAR,1.0,LH_LL,False,0.0,,,,,,True,bearish_engulfing,1.0,,,,,discount,0.0,1.6653449643143798,28.09999999999757,33.719999999997086,1.2,0.73,0.4,0.3,0.0,0.03,1.149,1.1518099999999998,1.1456280000000003
2025-11-10 13:22:37,CS.D.AUDUSD.MINI.IP,AUDUSD,bearish,REJECTED,PREMIUM_DISCOUNT_REJECT,PREMIUM_DISCOUNT_CHECK,,,BEAR,1.0,LH_LL,False,0.0,,,,,,True,structure_only,0.5,,,,,discount,0.0,1.5427769985966893,,,,,,,,,,,
2025-11-10 13:22:37,CS.D.USDCHF.MINI.IP,USDCHF,bullish,REJECTED,PREMIUM_DISCOUNT_REJECT,PREMIUM_DISCOUNT_CHECK,,,BULL,0.6,HH_HL,False,0.0,,,,,,True,bullish_engulfing,1.0,0.8067175,support,0.8,18.374999999999364,premium,0.0,78.86075949367017,,,,,,,,,,,
2025-11-10 13:22:37,CS.D.NZDUSD.MINI.IP,NZDUSD,bullish,APPROVED,,,,,BULL,0.85,LH_LL,False,0.0,,,,,,True,bullish_pin_bar,0.801980198019925,0.5688975000000001,support,0.8,28.07500000000074,discount,0.8645561687589817,4.469646430953608,11.450000000000626,68.39999999999957,5.97379912663719,0.9005940594059776,0.4,0.2405940594059775,0.16000000000000003,0.1,0.5661,0.564955,0.57294
2025-11-10 13:22:38,CS.D.AUDUSD.MINI.IP,AUDUSD,bearish,REJECTED,PREMIUM_DISCOUNT_REJECT,PREMIUM_DISCOUNT_CHECK,,,BEAR,1.0,LH_LL,False,0.0,,,,,,True,structure_only,0.5,,,,,discount,0.0,1.5427769985966893,,,,,,,,,,,
2025-11-10 13:22:38,CS.D.USDCHF.MINI.IP,USDCHF,bullish,REJECTED,PREMIUM_DISCOUNT_REJECT,PREMIUM_DISCOUNT_CHECK,,,BULL,0.6,HH_HL,False,0.0,,,,,,True,bullish_engulfing,1.0,0.8067175,support,0.8,18.374999999999364,premium,0.0,78.86075949367017,,,,,,,,,,,
2025-11-10 13:22:38,CS.D.AUDUSD.MINI.IP,AUDUSD,bearish,REJECTED,PREMIUM_DISCOUNT_REJECT,PREMIUM_DISCOUNT_CHECK,,,BEAR,1.0,LH_LL,False,0.0,,,,,,True,structure_only,0.5,0.5688975000000001,support,0.8,28.07500000000074,discount,0.0,1.5427769985966893,,,,,,,,,,,
2025-11-10 13:22:38,CS.D.USDCHF.MINI.IP,USDCHF,bullish,REJECTED,PREMIUM_DISCOUNT_REJECT,PREMIUM_DISCOUNT_CHECK,,,BULL,0.6,HH_HL,False,0.0,,,,,,True,bullish_engulfing,1.0,0.8067175,support,0.8,18.374999999999364,premium,0.0,78.86075949367017,,,,,,,,,,,
2025-11-10 13:22:38,CS.D.AUDUSD.MINI.IP,AUDUSD,bearish,REJECTED,PREMIUM_DISCOUNT_REJECT,PREMIUM_DISCOUNT_CHECK,,,BEAR,1.0,LH_LL,False,0.0,,,,,,True,structure_only,0.5,0.5688975000000001,support,0.8,28.07500000000074,discount,0.0,1.5427769985966893,,,,,,,,,,,
2025-11-10 13:22:38,CS.D.USDCHF.MINI.IP,USDCHF,bullish,REJECTED,PREMIUM_DISCOUNT_REJECT,PREMIUM_DISCOUNT_CHECK,,,BULL,0.6,HH_HL,False,0.0,,,,,,True,bullish_engulfing,1.0,0.8067175,support,0.8,18.374999999999364,premium,0.0,78.86075949367017,,,,,,,,,,,
2025-11-10 13:22:39,CS.D.AUDUSD.MINI.IP,AUDUSD,bearish,REJECTED,PREMIUM_DISCOUNT_REJECT,PREMIUM_DISCOUNT_CHECK,,,BEAR,1.0,LH_LL,False,0.0,,,,,,True,structure_only,0.5,0.5688975000000001,support,0.8,28.07500000000074,discount,0.0,14.452644526445576,,,,,,,,,,,
